name,kind,stage,scheme,difficult_policy,architecture_family,imgsz,epochs,recall,precision,fpr,f1,auroc,auprc,weights,error
p_cls_yolo_cls_384_include_difficult,classifier,pilot,,include_difficult,yolo_cls,384,30,0.8529411764705882,0.6904761904761905,0.2,0.7631578947368423,0.8714932126696833,0.7494558826058973,F:\Work\VSCode\Projects\DATASET\runs\missing_hole_v1\p_cls_yolo_cls_384_include_difficult\weights\best.pt,
p_cls_yolo_cls_384_exclude_difficult,classifier,pilot,,exclude_difficult,yolo_cls,384,30,0.8529411764705882,0.725,0.16923076923076924,0.7837837837837837,0.8809954751131222,0.7825084951875618,F:\Work\VSCode\Projects\DATASET\runs\missing_hole_v1\p_cls_yolo_cls_384_exclude_difficult\weights\best.pt,
p_cls_yolo_cls_512_include_difficult,classifier,pilot,,include_difficult,yolo_cls,512,30,0.6764705882352942,0.696969696969697,0.15384615384615385,0.6865671641791046,0.8384615384615385,0.7300156181191517,F:\Work\VSCode\Projects\DATASET\runs\missing_hole_v1\p_cls_yolo_cls_512_include_difficult\weights\best.pt,
p_cls_yolo_cls_512_exclude_difficult,classifier,pilot,,exclude_difficult,yolo_cls,512,30,0.7352941176470589,0.6944444444444444,0.16923076923076924,0.7142857142857144,0.8561085972850678,0.7785148081695349,F:\Work\VSCode\Projects\DATASET\runs\missing_hole_v1\p_cls_yolo_cls_512_exclude_difficult\weights\best.pt,
f_det_three_class_include_difficult_p2_960,detector,full,three_class,include_difficult,p2,960,100,0.9411764705882353,0.8421052631578947,0.09230769230769231,0.8888888888888888,0.9434389140271493,0.9240156822713502,F:\Work\VSCode\Projects\DATASET\runs\missing_hole_v1\f_det_three_class_include_difficult_p2_960\weights\best.pt,
f_det_two_class_exclude_difficult_standard_960,detector,full,two_class,exclude_difficult,standard,960,100,0.9117647058823529,0.8378378378378378,0.09230769230769231,0.8732394366197184,0.9434389140271493,0.9054428533242115,F:\Work\VSCode\Projects\DATASET\runs\missing_hole_v1\f_det_two_class_exclude_difficult_standard_960\weights\best.pt,
f_det_one_class_exclude_difficult_standard_960,detector,full,one_class,exclude_difficult,standard,960,100,0.9705882352941176,0.8461538461538461,0.09230769230769231,0.9041095890410958,0.9782805429864253,0.9709462680050917,F:\Work\VSCode\Projects\DATASET\runs\missing_hole_v1\f_det_one_class_exclude_difficult_standard_960\weights\best.pt,
f_cls_efficientnet_b0_512_exclude_difficult_s20260913,classifier,full,,exclude_difficult,efficientnet_b0,512,100,1.0,0.85,0.09230769230769231,0.9189189189189189,0.9701357466063348,0.9247403869240186,F:\Work\VSCode\Projects\DATASET\runs\missing_hole_v1\f_cls_efficientnet_b0_512_exclude_difficult_s20260913\best.pt,
f_cls_resnet18_384_include_difficult_s20260913,classifier,full,,include_difficult,resnet18,384,100,1.0,0.8095238095238095,0.12307692307692308,0.8947368421052632,0.9638009049773756,0.8910958434740628,F:\Work\VSCode\Projects\DATASET\runs\missing_hole_v1\f_cls_resnet18_384_include_difficult_s20260913\best.pt,
confirm_efficientnet_b0_512_exclude_difficult_s20260914,classifier,confirmation,,exclude_difficult,efficientnet_b0,512,100,1.0,0.8095238095238095,0.12307692307692308,0.8947368421052632,0.9579185520361991,0.8609205199446808,F:\Work\VSCode\Projects\DATASET\runs\missing_hole_v1\confirm_efficientnet_b0_512_exclude_difficult_s20260914\best.pt,
f_det_three_class_include_difficult_p2_1280,detector,full,three_class,include_difficult,p2,1280,100,0.9411764705882353,0.7272727272727273,0.18461538461538463,0.8205128205128205,0.9484162895927601,0.9231850323919306,F:\Work\VSCode\Projects\DATASET\runs\missing_hole_v1\f_det_three_class_include_difficult_p2_1280\weights\best.pt,
f_det_two_class_exclude_difficult_standard_1280,detector,full,two_class,exclude_difficult,standard,1280,100,0.9411764705882353,0.7272727272727273,0.18461538461538463,0.8205128205128205,0.9638009049773756,0.9479972565618686,F:\Work\VSCode\Projects\DATASET\runs\missing_hole_v1\f_det_two_class_exclude_difficult_standard_1280\weights\best.pt,
f_det_one_class_exclude_difficult_standard_1280,detector,full,one_class,exclude_difficult,standard,1280,100,0.8823529411764706,0.75,0.15384615384615385,0.8108108108108107,0.9298642533936652,0.9128344540279424,F:\Work\VSCode\Projects\DATASET\runs\missing_hole_v1\f_det_one_class_exclude_difficult_standard_1280\weights\best.pt,
refine_one_class_exclude_difficult_standard_960,detector,refinement,refined_one_class,exclude_difficult,standard,960,100,0.9411764705882353,0.8205128205128205,0.1076923076923077,0.8767123287671232,0.9601809954751132,0.9506161582826295,F:\Work\VSCode\Projects\DATASET\runs\missing_hole_v1\refine_one_class_exclude_difficult_standard_960\weights\best.pt,
