epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.3901,0.37303,0.6,1,0.87554,0.00022803,0.00022803,0.0676523
2,14.456,0.32774,0.6,1,1.16428,0.000446139,0.000446139,0.034537
3,21.5788,0.29015,0.7,1,1.69308,0.000648847,0.000648847,0.00140642
4,28.7205,0.27362,0.68,1,0.84694,0.0006307,0.0006307,0.0006307
5,35.8807,0.22649,0.7,1,1.07659,0.0006076,0.0006076,0.0006076
6,43.0673,0.17615,0.78,1,0.82824,0.0005845,0.0005845,0.0005845
7,50.2461,0.16461,0.74,1,1.13153,0.0005614,0.0005614,0.0005614
8,57.4405,0.15858,0.68,1,1.46368,0.0005383,0.0005383,0.0005383
9,64.7082,0.15586,0.72,1,0.99897,0.0005152,0.0005152,0.0005152
10,71.9316,0.11483,0.72,1,1.07676,0.0004921,0.0004921,0.0004921
11,79.1556,0.11534,0.7,1,1.26435,0.000469,0.000469,0.000469
12,86.3792,0.09934,0.68,1,1.26714,0.0004459,0.0004459,0.0004459
13,93.6322,0.08482,0.68,1,1.08535,0.0004228,0.0004228,0.0004228
14,100.972,0.06466,0.7,1,1.61606,0.0003997,0.0003997,0.0003997
15,108.197,0.04389,0.68,1,1.58628,0.0003766,0.0003766,0.0003766
16,115.563,0.04692,0.68,1,1.6672,0.0003535,0.0003535,0.0003535
