timestamp,utilization_gpu_percent,memory_used_mb,memory_total_mb,temperature_c,power_w
2026/09/12 00:09:11.377, 0, 0, 8188, 58, 14.45
2026/09/12 00:09:41.435, 0, 1333, 8188, 59, 20.34
2026/09/12 00:10:11.500, 97, 1765, 8188, 61, 44.48
2026/09/12 00:10:41.579, 97, 1765, 8188, 66, 37.51
2026/09/12 00:11:11.640, 28, 1765, 8188, 67, 32.41
2026/09/12 00:11:41.709, 0, 207, 8188, 60, 1.61
2026/09/12 00:12:11.767, 0, 1323, 8188, 56, 1.55
2026/09/12 00:12:41.834, 97, 1707, 8188, 63, 44.43
2026/09/12 00:13:11.907, 93, 1707, 8188, 66, 38.61
2026/09/12 00:13:41.967, 97, 1707, 8188, 69, 44.58
2026/09/12 00:14:12.024, 96, 1707, 8188, 70, 44.43
2026/09/12 00:14:42.092, 0, 245, 8188, 62, 1.71
2026/09/12 00:15:12.159, 0, 3641, 8188, 58, 2.23
2026/09/12 00:15:33.580, 0, 3641, 8188, 55, 1.52
2026/09/12 00:15:42.229, 99, 4560, 8188, 64, 45.64
2026/09/12 00:16:03.680, 0, 4502, 8188, 67, 31.03
2026/09/12 00:16:12.296, 96, 4502, 8188, 69, 44.33
2026/09/12 00:16:33.746, 97, 6698, 8188, 71, 36.36
2026/09/12 00:16:42.353, 100, 7938, 8188, 71, 44.79
2026/09/12 00:17:03.837, 39, 3932, 8188, 68, 13.25
2026/09/12 00:17:12.417, 0, 3854, 8188, 66, 9.04
2026/09/12 00:17:33.910, 0, 4502, 8188, 68, 41.63
2026/09/12 00:17:42.485, 96, 7546, 8188, 71, 34.26
2026/09/12 00:18:03.988, 100, 7936, 8188, 69, 33.49
2026/09/12 00:18:12.560, 100, 7936, 8188, 69, 33.35
2026/09/12 00:18:34.053, 97, 7936, 8188, 70, 44.18
2026/09/12 00:18:42.619, 0, 7936, 8188, 69, 39.79
2026/09/12 00:19:04.130, 100, 7920, 8188, 72, 32.79
2026/09/12 00:19:12.741, 100, 7920, 8188, 70, 30.14
2026/09/12 00:19:34.263, 100, 7920, 8188, 68, 29.24
2026/09/12 00:19:42.876, 100, 7920, 8188, 68, 29.05
2026/09/12 00:20:04.348, 100, 7920, 8188, 66, 28.83
2026/09/12 00:20:12.957, 100, 7920, 8188, 66, 28.67
2026/09/12 00:20:34.455, 100, 7920, 8188, 65, 28.52
2026/09/12 00:20:43.035, 100, 7920, 8188, 65, 28.51
2026/09/12 00:21:04.526, 100, 7920, 8188, 65, 28.31
2026/09/12 00:21:13.126, 100, 7920, 8188, 64, 28.59
2026/09/12 00:21:34.641, 100, 7920, 8188, 64, 28.16
2026/09/12 00:21:43.190, 100, 7920, 8188, 64, 28.32
2026/09/12 00:22:04.714, 91, 4301, 8188, 67, 36.44
2026/09/12 00:22:34.786, 0, 189, 8188, 60, 1.56
2026/09/12 00:23:04.852, 0, 3769, 8188, 57, 1.51
