epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.15156,0.49499,0.70707,1,0.54796,0.000226263,0.000226263,0.067903
2,8.21235,0.46706,0.74747,1,0.52593,0.000444429,0.000444429,0.0347879
3,12.2676,0.45095,0.77778,1,0.61223,0.000647196,0.000647196,0.0016573
4,16.3042,0.38936,0.65657,1,0.74338,0.0006307,0.0006307,0.0006307
5,20.3643,0.37176,0.76768,1,0.45552,0.0006076,0.0006076,0.0006076
6,24.4258,0.37481,0.79798,1,0.41379,0.0005845,0.0005845,0.0005845
7,28.5171,0.27777,0.78788,1,0.61924,0.0005614,0.0005614,0.0005614
8,32.6105,0.21419,0.78788,1,0.3848,0.0005383,0.0005383,0.0005383
9,36.6934,0.18727,0.78788,1,0.78082,0.0005152,0.0005152,0.0005152
10,40.8023,0.19194,0.79798,1,0.46969,0.0004921,0.0004921,0.0004921
11,44.9189,0.19352,0.80808,1,0.47581,0.000469,0.000469,0.000469
12,49.055,0.18445,0.82828,1,0.5695,0.0004459,0.0004459,0.0004459
13,53.1989,0.14871,0.81818,1,0.56481,0.0004228,0.0004228,0.0004228
14,57.3186,0.11254,0.82828,1,0.50122,0.0003997,0.0003997,0.0003997
15,61.4796,0.11671,0.80808,1,0.5408,0.0003766,0.0003766,0.0003766
16,65.6209,0.11021,0.84848,1,0.37956,0.0003535,0.0003535,0.0003535
17,69.7794,0.1009,0.83838,1,0.38692,0.0003304,0.0003304,0.0003304
18,73.9276,0.08779,0.80808,1,0.44436,0.0003073,0.0003073,0.0003073
19,78.1283,0.07111,0.80808,1,0.80844,0.0002842,0.0002842,0.0002842
20,82.3079,0.04742,0.82828,1,0.44465,0.0002611,0.0002611,0.0002611
21,114.489,0.077,0.84848,1,0.38198,0.000238,0.000238,0.000238
22,118.601,0.06873,0.83838,1,0.44827,0.0002149,0.0002149,0.0002149
23,122.683,0.01693,0.83838,1,0.8462,0.0001918,0.0001918,0.0001918
24,126.774,0.05835,0.83838,1,0.49594,0.0001687,0.0001687,0.0001687
25,130.905,0.0519,0.81818,1,0.51632,0.0001456,0.0001456,0.0001456
26,135.024,0.0228,0.81818,1,0.45547,0.0001225,0.0001225,0.0001225
27,139.143,0.03361,0.81818,1,0.46886,9.94e-05,9.94e-05,9.94e-05
28,143.277,0.02023,0.82828,1,0.566,7.63e-05,7.63e-05,7.63e-05
