epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.60719,0.53405,0.65657,1,0.70266,0.000219608,0.000219608,0.0688471
2,6.01312,0.41228,0.75758,1,0.58346,0.000437994,0.000437994,0.0357321
3,8.45917,0.35998,0.77778,1,0.79685,0.00064098,0.00064098,0.00260176
4,10.8748,0.31203,0.75758,1,0.46756,0.0006307,0.0006307,0.0006307
5,13.2589,0.2473,0.76768,1,0.40921,0.0006076,0.0006076,0.0006076
6,15.6689,0.2536,0.83838,1,0.36133,0.0005845,0.0005845,0.0005845
7,18.0992,0.21694,0.79798,1,1.02634,0.0005614,0.0005614,0.0005614
8,20.5141,0.20689,0.85859,1,0.35015,0.0005383,0.0005383,0.0005383
9,22.9513,0.17139,0.85859,1,0.86058,0.0005152,0.0005152,0.0005152
10,25.4143,0.10992,0.80808,1,1.48151,0.0004921,0.0004921,0.0004921
11,27.8755,0.09881,0.82828,1,0.46536,0.000469,0.000469,0.000469
12,30.3378,0.07752,0.79798,1,0.64802,0.0004459,0.0004459,0.0004459
13,32.7784,0.08666,0.82828,1,0.50713,0.0004228,0.0004228,0.0004228
14,35.2344,0.06036,0.79798,1,0.79846,0.0003997,0.0003997,0.0003997
15,37.6979,0.0755,0.80808,1,0.45705,0.0003766,0.0003766,0.0003766
16,40.1541,0.05923,0.79798,1,0.48422,0.0003535,0.0003535,0.0003535
17,42.6173,0.0413,0.84848,1,0.47284,0.0003304,0.0003304,0.0003304
18,45.0761,0.05758,0.84848,1,0.53776,0.0003073,0.0003073,0.0003073
19,47.5256,0.02684,0.85859,1,0.93629,0.0002842,0.0002842,0.0002842
20,50.0161,0.04621,0.85859,1,1.03759,0.0002611,0.0002611,0.0002611
