epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.58318,0.54529,0.60667,1,0.67322,0.000225806,0.000225806,0.0679677
2,11.7186,0.52732,0.42,1,1.63607,0.000443988,0.000443988,0.0348526
3,16.8736,0.38908,0.59333,1,0.65821,0.00064677,0.00064677,0.00172204
4,22.0736,0.31671,0.72,1,0.69181,0.0006307,0.0006307,0.0006307
5,27.3074,0.32905,0.8,1,0.47905,0.0006076,0.0006076,0.0006076
6,32.5583,0.2184,0.70667,1,0.69131,0.0005845,0.0005845,0.0005845
7,37.8066,0.2351,0.6,1,0.9592,0.0005614,0.0005614,0.0005614
8,43.0649,0.19064,0.78667,1,0.51694,0.0005383,0.0005383,0.0005383
9,48.318,0.14525,0.75333,1,0.53046,0.0005152,0.0005152,0.0005152
10,53.5777,0.10736,0.68,1,0.79556,0.0004921,0.0004921,0.0004921
11,58.8758,0.12461,0.78667,1,0.57435,0.000469,0.000469,0.000469
12,64.1593,0.07853,0.7,1,0.78421,0.0004459,0.0004459,0.0004459
13,69.4458,0.07243,0.7,1,0.96425,0.0004228,0.0004228,0.0004228
14,74.7732,0.0842,0.74,1,0.806,0.0003997,0.0003997,0.0003997
15,80.043,0.10871,0.74,1,1.00903,0.0003766,0.0003766,0.0003766
