epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.57926,0.63377,0.4,1,0.90359,0.000204167,0.000204167,0.0710375
2,5.61441,0.47917,0.62,1,0.61215,0.000428838,0.000428838,0.0379288
3,7.51348,0.41089,0.6,1,0.70906,0.000644268,0.000644268,0.00481093
4,9.32986,0.41846,0.68,1,0.75139,0.00065842,0.00065842,0.00065842
5,11.1428,0.3859,0.68,1,0.66466,0.00064456,0.00064456,0.00064456
6,12.922,0.28939,0.74,1,0.7832,0.0006307,0.0006307,0.0006307
7,14.7447,0.3258,0.7,1,1.19918,0.00061684,0.00061684,0.00061684
8,16.5594,0.22645,0.7,1,1.21322,0.00060298,0.00060298,0.00060298
9,18.3642,0.20158,0.68,1,1.5909,0.00058912,0.00058912,0.00058912
10,20.1782,0.17369,0.66,1,1.61177,0.00057526,0.00057526,0.00057526
11,22.009,0.15765,0.7,1,1.61766,0.0005614,0.0005614,0.0005614
12,23.8091,0.18157,0.7,1,1.60884,0.00054754,0.00054754,0.00054754
13,25.6784,0.11415,0.72,1,1.71917,0.00053368,0.00053368,0.00053368
14,27.4835,0.11458,0.72,1,1.63547,0.00051982,0.00051982,0.00051982
15,29.3133,0.10857,0.72,1,1.20928,0.00050596,0.00050596,0.00050596
16,31.1372,0.10086,0.7,1,1.278,0.0004921,0.0004921,0.0004921
17,33.0854,0.10112,0.7,1,1.53863,0.00047824,0.00047824,0.00047824
18,34.9552,0.1056,0.7,1,1.91108,0.00046438,0.00046438,0.00046438
19,36.806,0.05521,0.7,1,2.43223,0.00045052,0.00045052,0.00045052
20,38.677,0.10297,0.7,1,2.31308,0.00043666,0.00043666,0.00043666
21,40.5023,0.03988,0.72,1,1.91021,0.0004228,0.0004228,0.0004228
22,42.3312,0.05711,0.7,1,1.98253,0.00040894,0.00040894,0.00040894
