epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.82981,0.52596,0.6,1,0.94835,0.000224,0.000224,0.068224
2,8.9873,0.4639,0.54,1,0.89623,0.000442241,0.000442241,0.0351089
3,13.2291,0.38112,0.68,1,0.60299,0.000645083,0.000645083,0.00197842
4,17.4209,0.41589,0.68,1,0.81664,0.0006307,0.0006307,0.0006307
5,21.6126,0.35213,0.68,1,0.99086,0.0006076,0.0006076,0.0006076
6,25.8352,0.34568,0.62,1,1.099,0.0005845,0.0005845,0.0005845
7,30.1139,0.32517,0.7,1,0.84097,0.0005614,0.0005614,0.0005614
8,34.4469,0.26693,0.7,1,1.27145,0.0005383,0.0005383,0.0005383
9,38.6317,0.23696,0.7,1,1.15568,0.0005152,0.0005152,0.0005152
10,42.9505,0.26752,0.72,1,0.79747,0.0004921,0.0004921,0.0004921
11,47.1539,0.20525,0.68,1,1.37649,0.000469,0.000469,0.000469
12,51.5142,0.18753,0.68,1,1.21787,0.0004459,0.0004459,0.0004459
13,55.7797,0.1569,0.68,1,1.07465,0.0004228,0.0004228,0.0004228
14,59.9595,0.14912,0.68,1,1.36366,0.0003997,0.0003997,0.0003997
15,64.2559,0.11819,0.68,1,1.20209,0.0003766,0.0003766,0.0003766
16,68.587,0.12077,0.76,1,1.09045,0.0003535,0.0003535,0.0003535
17,72.7673,0.06775,0.66,1,1.37572,0.0003304,0.0003304,0.0003304
18,77.0746,0.05922,0.68,1,1.26843,0.0003073,0.0003073,0.0003073
19,81.2278,0.05604,0.68,1,1.87072,0.0002842,0.0002842,0.0002842
20,85.4543,0.06281,0.68,1,2.03989,0.0002611,0.0002611,0.0002611
21,105.123,0.06006,0.68,1,1.81415,0.000238,0.000238,0.000238
22,109.529,0.03958,0.66,1,1.6541,0.0002149,0.0002149,0.0002149
23,113.775,0.02825,0.7,1,1.66099,0.0001918,0.0001918,0.0001918
24,117.878,0.01985,0.7,1,2.06711,0.0001687,0.0001687,0.0001687
25,122.046,0.02128,0.7,1,1.83163,0.0001456,0.0001456,0.0001456
26,126.228,0.01972,0.72,1,2.05484,0.0001225,0.0001225,0.0001225
